"RepoName","OwnerName","Fork","Desc","Type","SideAdmin","PrivateorNot","Size","WatchersCount","Language","HasIssues","HasProjects","HasDownloads","HasWiki","HasPages","ForksCounts","Archived","OpenIssuesCount","License","SubscribersCount","NetworkCount","CreatedAt","UpdatedAt","PushedAt","StarsCount"
"merb-core","wycats","false","Merb Core: All you need. None you don't.","User","false","false",3462,407,"Ruby",true,true,true,true,false,54,false,0,"NA",3,54,"2008-01-12T05:50:53Z","2018-01-14T02:15:14Z","2008-10-13T02:31:34Z",407
"jspec","wycats","false","A JavaScript BDD Testing Library","User","false","false",156,66,"JavaScript",true,true,true,true,false,6,false,0,"bsd-3-clause",2,6,"2008-01-13T15:50:31Z","2017-07-25T13:12:56Z","2008-03-26T19:09:06Z",66
"rubinius","rubinius","false","The Rubinius Language Platform","Organization","false","false",165598,2762,"C",true,true,true,false,false,602,false,198,"NA",113,602,"2008-01-12T16:46:52Z","2018-01-30T18:13:39Z","2018-02-01T23:00:52Z",2762
"exception_logger","defunkt","false","Unmaintained. Sorry.","User","true","false",232,236,"Ruby",false,true,false,false,false,86,false,2,"NA",1,86,"2008-01-14T03:32:19Z","2017-12-21T20:19:24Z","2016-01-01T04:57:28Z",236
"jsawesome","vanpelt","false","Awesome JSON","User","false","false",192,36,"JavaScript",true,true,true,true,false,2,false,0,"mit",2,2,"2008-01-13T06:04:19Z","2017-12-21T20:19:36Z","2008-05-29T20:09:36Z",36
"ambition","defunkt","false","include Enumerable — Unmaintained","User","true","false",473,149,"Ruby",false,true,true,false,true,16,false,1,"mit",2,16,"2008-01-14T06:28:56Z","2017-12-21T20:19:34Z","2015-04-24T00:18:24Z",149
"s3","anotherjesse","false","psuedo s3 protocol for mozilla browsers","User","false","false",393,30,"JavaScript",true,true,true,true,false,8,false,1,"NA",1,8,"2008-01-15T08:09:42Z","2017-07-25T13:12:56Z","2009-09-27T09:20:16Z",30
"restful-authentication","technoweenie","false","Generates common user authentication code for Rails/Merb, with a full test/unit and rspec suite and optional Acts as State Machine support built-in.","User","false","false",1208,1607,"Ruby",true,true,true,true,false,280,false,27,"mit",17,280,"2008-01-14T14:44:23Z","2018-01-17T20:58:13Z","2015-07-31T22:25:04Z",1607
"attachment_fu","technoweenie","false","Treat an ActiveRecord model as a file attachment, storing its patch, size, content type, etc.","User","false","false",1008,1031,"Ruby",true,true,true,true,false,309,false,36,"mit",8,309,"2008-01-14T14:51:56Z","2018-01-17T17:45:05Z","2017-03-28T00:48:29Z",1031
"microsis","Caged","false","SUPER OLD STUFF","User","true","false",2054,19,"JavaScript",true,true,true,true,false,3,false,0,"NA",1,3,"2008-01-15T06:11:14Z","2017-07-25T13:12:56Z","2008-03-26T19:09:09Z",19
"foxtracs","anotherjesse","false","firefox trac integration","User","false","false",135,13,"JavaScript",true,true,true,true,false,2,false,1,"NA",1,2,"2008-01-15T08:18:59Z","2017-07-25T13:12:56Z","2008-06-13T05:37:35Z",13
"fotomatic","anotherjesse","false","Flash photo widget prototype - hacked at last SHDH of 2007","User","false","false",139,9,"ActionScript",true,true,true,true,false,3,false,0,"NA",1,3,"2008-01-15T08:22:24Z","2017-07-25T13:12:56Z","2008-03-26T19:09:10Z",9
"starling","defunkt","false","","User","true","false",192,67,"Ruby",true,true,true,true,false,5,false,0,"mit",1,5,"2008-01-17T08:01:31Z","2017-07-12T20:10:40Z","2008-11-01T02:05:21Z",67
"taboo","anotherjesse","false","The solution for tabitus of the browser ","User","false","false",781,26,"JavaScript",true,true,true,true,false,13,false,1,"NA",1,13,"2008-01-15T08:13:02Z","2017-07-25T13:12:56Z","2010-01-21T07:08:09Z",26
"glowstick","mojombo","false","A realtime, OpenGL graphing library for Ruby","User","false","false",86,31,"Ruby",true,true,true,true,false,8,false,1,"NA",3,8,"2008-01-17T00:40:56Z","2017-11-13T14:01:02Z","2008-03-26T19:09:11Z",31
"god","mojombo","false","Ruby process monitor","User","false","false",2639,2081,"Ruby",true,true,true,true,true,481,false,117,"mit",105,481,"2008-01-13T05:16:23Z","2018-01-26T13:31:37Z","2017-11-10T22:42:25Z",2081
"merb-more","wycats","false","Merb More: The Full Stack. Take what you need; leave what you don't.","User","false","false",1551,188,,true,true,true,true,false,28,false,0,"NA",5,28,"2008-01-18T07:05:20Z","2017-08-22T03:56:14Z","2008-10-15T18:43:13Z",188
"enum_field","jamesgolick","false","","User","false","false",131,57,"Ruby",true,true,true,true,false,18,false,2,"mit",4,18,"2008-01-22T01:54:15Z","2017-07-12T20:10:40Z","2009-06-26T19:19:26Z",57
"cache_fu","defunkt","false","Ghost from Christmas past. Unmaintained.","User","true","false",105,256,"Ruby",true,true,false,false,false,67,false,6,"mit",3,67,"2008-01-23T00:28:10Z","2017-12-07T18:00:25Z","2009-10-04T01:54:43Z",256
"subtlety","defunkt","false","Subtlety: SVN => RSS, hAtom => Atom","User","true","false",117,12,"Ruby",true,true,true,true,false,4,false,0,"NA",1,4,"2008-01-22T07:19:14Z","2017-07-12T20:10:40Z","2008-03-26T19:09:21Z",12
"zippy","defunkt","false","Zippy lil’ zipcode lib.","User","true","false",103,12,"Ruby",false,true,false,false,false,4,false,0,"NA",1,4,"2008-01-23T00:15:57Z","2017-12-21T20:19:26Z","2009-05-19T02:07:22Z",12
"phosphor","KirinDave","false"," A ruby library to inexpensively emit runtime events via Dtrace","User","false","false",84,5,,true,true,true,true,false,1,false,0,"NA",2,1,"2008-01-23T03:32:50Z","2017-07-25T13:12:56Z","2008-03-26T19:09:21Z",5
"thin","macournoyer","false","A very fast & simple Ruby web server","User","false","false",1888,1977,"Ruby",true,true,true,false,false,301,false,100,"NA",62,301,"2008-01-19T05:39:04Z","2018-02-02T11:30:06Z","2018-01-08T12:29:56Z",1977
