"RepoName","OwnerName","Fork","Desc","Type","SideAdmin","PrivateorNot","Size","WatchersCount","Language","HasIssues","HasProjects","HasDownloads","HasWiki","HasPages","ForksCounts","Archived","OpenIssuesCount","License","SubscribersCount","NetworkCount","CreatedAt","UpdatedAt","PushedAt","StarsCount"
"sicp","nonstop","false","execises from ""Structure and Interpretation of Computer Programs"" (SICP)","User","false","false",84,2,"Scheme",true,true,true,true,false,0,false,0,"NA",2,0,"2008-11-13T11:57:43Z","2016-05-08T16:49:45Z","2009-05-22T14:30:59Z",2
"funfx","aslakhellesoy","false","Ruby tool for functional testing of Flex applications","User","false","false",14531,12,"ActionScript",true,true,true,true,false,9,false,0,"NA",2,9,"2008-11-13T13:21:21Z","2016-05-08T16:49:48Z","2008-12-29T15:08:59Z",12
"lastfm-stats","woodenbrick","false","Pull last.fm stats and display them on the desktop, possibly with conky","User","false","false",96,3,"Python",true,true,true,true,false,3,false,0,"NA",2,3,"2008-11-13T12:17:54Z","2016-05-08T16:49:46Z","2008-12-03T21:44:17Z",3
"qanda","crchondrite","false","qanda_gittest","User","false","false",1420,2,"JavaScript",true,true,true,true,false,1,false,0,"NA",2,1,"2008-11-13T12:34:42Z","2016-05-08T16:49:46Z","2008-11-13T14:28:11Z",2
"gruff","wanggu","true","Gruff graphing library for Ruby","User","false","false",2626,2,"Ruby",true,true,true,true,false,0,false,0,"mit",2,190,"2008-11-13T13:10:09Z","2016-05-08T16:49:47Z","2008-09-17T11:16:21Z",2
"pony","stephencelis","true","The express way to send mail from Ruby.","User","false","false",96,3,"Ruby",true,true,true,true,false,0,false,0,"NA",2,93,"2008-11-13T13:36:53Z","2016-05-08T16:49:49Z","2008-11-13T13:55:18Z",3
"tweetscope","reidab","false","A little sinatra app for building themed displays of twitter search results.","User","false","false",5056,15,"Ruby",true,true,true,true,false,2,false,1,"mit",2,2,"2008-11-13T13:36:18Z","2016-05-08T16:49:49Z","2011-10-29T03:59:14Z",15
"acts_as_audited","dvdplm","false","","User","false","false",,,,,,,,,,,,"NA",,,,,,
"linux-configs","SiasMey","false","Collection of Config and RC files for my personal taste in linux","User","false","false",104,2,"Lua",true,true,true,true,false,0,false,0,"NA",2,0,"2008-11-13T14:02:50Z","2016-05-08T16:49:51Z","2008-12-11T08:23:30Z",2
"rails-crm","rielaantonio","false","CRM aimed at simple user interface and integration with GMail","User","false","false",276,2,"Ruby",true,true,true,true,false,1,false,0,"NA",2,1,"2008-11-13T13:43:48Z","2016-05-08T16:49:50Z","2008-11-13T13:43:48Z",2
"checkmate","maria85joaquin","true","A Refined WordPress Theme","User","false","false",973,1,"PHP",true,true,true,true,false,0,false,0,"NA",2,1,"2008-11-13T11:52:13Z","2016-05-08T16:49:45Z","2008-10-22T20:38:17Z",1
"poco-client-httpdeferred-perl","typester","false","PoCo::Client::HTTP wrapper with twist like deferred interface","User","false","false",100,3,"Perl",true,true,true,true,false,0,false,0,"other",3,0,"2008-11-13T13:57:27Z","2016-05-08T16:49:51Z","2009-05-15T02:32:28Z",3
"sugar-development.sugar","subtleGradient","false","Espresso Sugar to help you develop Espresso Sugars","User","false","false",48,5,,true,true,true,true,false,0,false,0,"NA",1,0,"2008-11-13T15:23:27Z","2016-05-08T16:49:58Z",,5
"mangos","skydumpling","true","MaNGOS is a free, Open Source implementation of a game server compatible with the original World of Warcraft client.","User","false","false",9127,2,"C++",true,true,true,true,false,0,false,0,"gpl-2.0",2,1329,"2008-11-13T14:15:16Z","2016-05-08T16:49:53Z","2008-11-12T23:03:26Z",2
"qz7","bks","false","qz7 is a port/rewrite of the 7zip compression and archiving libraries to idiomatic Qt4","User","false","false",1520,2,"C++",true,true,true,true,false,0,false,0,"NA",3,0,"2008-11-13T15:28:52Z","2016-05-08T16:49:58Z","2008-12-09T00:46:16Z",2
"emacs-config","rodimius","false","my awesome emacs config","User","false","false",11304,2,,true,true,true,true,false,0,false,0,"NA",2,0,"2008-11-13T14:37:18Z","2016-05-08T16:49:54Z","2008-11-13T15:06:11Z",2
"snps-database","dalloliogm","false","","User","false","false",4619,5,"Python",true,true,true,true,false,2,false,0,"NA",2,2,"2008-11-13T14:13:54Z","2016-05-08T16:49:52Z","2010-02-08T10:31:49Z",5
"action_mailer_layouts","alexkwolfe","false","","User","false","false",80,2,,true,true,true,true,false,0,false,0,"NA",2,0,"2008-11-13T15:30:56Z","2016-05-08T16:49:59Z","2008-11-13T15:37:53Z",2
"less-reverse-captcha","chandragupta","true","Creates a reverse captcha for any model.","User","false","false",82,2,,true,true,true,true,false,0,false,0,"other",2,6,"2008-11-13T13:26:12Z","2016-05-08T16:49:48Z","2008-11-13T13:26:12Z",2
"mangos","Laser-xx","true","MaNGOS is a free, Open Source implementation of a game server compatible with the original World of Warcraft client.","User","false","false",9123,2,"C++",true,true,true,true,false,1,false,0,"gpl-2.0",2,1329,"2008-11-13T15:09:18Z","2016-05-08T16:49:56Z","2008-11-12T23:03:26Z",2
"acts_as_related","trnsfr","false","Association proxy mock for ActiveResource","Organization","false","false",80,1,,true,true,true,true,false,0,false,0,"mit",5,0,"2008-11-13T15:37:29Z","2013-05-26T00:58:54Z","2008-11-13T15:38:33Z",1
"rxwebcam","lcostantino","false","Qt4 Webcam Viewer ","User","false","false",3000,2,"C++",true,true,true,true,false,0,false,0,"NA",2,0,"2008-11-13T15:21:00Z","2016-05-08T16:49:57Z","2009-09-12T01:18:33Z",2
"webrat","dcolthorp","true","Webrat - Ruby Acceptance Testing for Web applications","User","false","false",391,3,"Ruby",true,true,true,true,false,1,false,0,"mit",2,300,"2008-11-13T14:48:15Z","2016-05-08T16:49:55Z","2008-11-13T14:56:31Z",3
"Config-INI","rjbs","false","Config::INI perl module","User","false","false",397,11,"Perl",true,true,false,false,false,9,false,0,"NA",3,9,"2008-11-13T15:40:23Z","2017-12-04T11:35:04Z","2014-11-16T19:30:08Z",11
"paginating_find","alexkwolfe","false","Deprecated.","User","false","false",2096,13,"Ruby",true,true,true,true,false,5,false,0,"NA",2,5,"2008-11-13T15:39:16Z","2016-05-08T16:50:00Z","2013-11-15T14:27:46Z",13
"nav-y","trnsfr","false","Multi-level yaml based navigation","Organization","false","false",80,2,,true,true,true,true,false,0,false,0,"mit",5,0,"2008-11-13T15:42:57Z","2013-10-26T10:24:13Z","2008-11-13T15:43:49Z",2
"crudlinks","trnsfr","false","Dynamically creates links for crud actions.","Organization","false","false",80,1,"Ruby",true,true,true,true,false,0,false,0,"mit",5,0,"2008-11-13T15:40:50Z","2013-10-11T17:16:18Z","2009-01-20T20:35:57Z",1
"vingivingi","vingivingi","false","A rote oto","User","false","false",48,2,,true,true,true,true,false,0,false,0,"NA",2,0,"2008-11-13T15:41:54Z","2016-05-08T16:50:02Z",,2
"pagebakery.org-cms","Pagebakers","false","Cakephp & jQuery based CMS","User","false","false",4196,43,"JavaScript",true,true,true,true,true,5,false,0,"NA",4,5,"2008-11-13T16:00:57Z","2016-11-01T19:49:23Z","2009-05-22T13:57:31Z",43
"validate-onsubmit","trnsfr","false","Validates a form via javascript with your active-record validations","Organization","false","false",76,1,,true,true,true,true,false,0,false,0,"mit",5,0,"2008-11-13T15:45:48Z","2014-01-07T11:50:15Z","2008-11-13T15:46:53Z",1
"calendar_helper","l0c0","true","Calendar-generating plugin for Ruby","User","false","false",83,1,"Ruby",true,true,true,true,false,0,false,0,"mit",2,97,"2008-11-13T15:02:34Z","2016-05-08T16:49:55Z","2008-11-10T20:04:44Z",1
"collectanea","sneeu","false","A collection of little pieces of code I've written for one reason or another.","User","false","false",112,3,"JavaScript",true,true,true,true,false,1,false,0,"NA",2,1,"2008-11-13T16:04:19Z","2016-05-08T16:50:05Z","2008-12-18T11:47:59Z",3
"autotest-notification","nuxlli","true","This gem set the autotest (ZenTest) to send messages to software as Growl, LibNotify, and Snarl, displaying a window with the results.","User","false","false",601,5,"Ruby",true,true,true,true,false,2,false,0,"mit",2,28,"2008-11-13T14:25:52Z","2016-05-08T16:49:54Z","2008-11-13T14:28:54Z",5
"scriptorium","patrickt","false","Scriptorium is a small utility designed to make extracting and saving Scripting Bridge headers easy.","User","false","false",136,2,"Ruby",true,true,true,true,false,1,false,0,"NA",2,1,"2008-11-13T16:38:28Z","2016-05-08T16:50:07Z","2008-11-13T17:01:59Z",2
"factory_girl","multiplay","true","","Organization","false","false",188,2,"Ruby",true,true,true,true,false,1,false,0,"mit",4,1500,"2008-11-13T15:53:16Z","2016-05-08T16:50:04Z","2008-11-13T21:39:01Z",2
"railsstore","ttilley","false","The Rails plugin for interfacing with dojox.data.RailsStore","User","false","false",96,4,"Ruby",true,true,true,true,false,2,false,0,"NA",1,2,"2008-11-13T16:55:13Z","2016-05-08T16:50:08Z","2009-01-18T03:02:44Z",4
"shane","sbrauner","false","Hello world template for github cloning","User","false","false",107,3,"JavaScript",true,true,true,true,false,0,false,0,"NA",3,0,"2008-11-13T17:01:07Z","2016-05-08T16:50:08Z","2008-12-22T19:19:31Z",3
"misdnuser","xrg","false","Userspace tools for mISDN","User","false","false",728,2,,true,true,true,true,false,0,false,0,"other",2,0,"2008-11-13T16:25:11Z","2015-11-05T13:30:37Z","2008-11-13T16:26:46Z",2
"rails-crawler","michaelmelanson","false","Crawls a Rails project looking for dead links, unused routes or other problems","User","false","false",165,14,"Ruby",true,true,true,true,false,4,true,0,"NA",2,4,"2008-11-13T17:17:03Z","2017-12-13T15:38:20Z","2008-11-13T18:03:16Z",14
"ab-c-website","dannydamnboy","true","...","User","false","false",107,2,"JavaScript",true,true,true,true,false,0,false,0,"NA",2,1,"2008-11-13T15:11:32Z","2016-05-08T16:49:57Z","2008-10-26T05:23:02Z",2
"isneilannoyedby","NeilCrosby","false","","User","false","false",120,3,"PHP",true,true,true,true,false,0,false,0,"other",2,0,"2008-11-13T17:26:58Z","2016-05-08T16:51:58Z","2010-08-19T06:26:19Z",3
"ljtest","tata","false","","User","false","false",80,2,,true,true,true,true,false,0,false,0,"NA",2,0,"2008-11-13T17:37:40Z","2016-05-08T16:51:58Z","2008-11-13T17:40:14Z",2
"proximity-detection-scripts","samsouder","false","A set of scripts/programs to enable use of the Proximity application easily.","User","false","false",88,5,"C",true,true,true,true,false,0,false,0,"NA",2,0,"2008-11-13T18:04:07Z","2016-05-08T16:51:59Z","2008-11-13T20:01:41Z",5
"fbtest","sbrauner","false","Test/demo app for Facebook","User","false","false",80,2,,true,true,true,true,false,0,false,0,"NA",2,0,"2008-11-13T17:04:08Z","2016-05-08T16:51:57Z","2008-11-13T18:23:20Z",2
"netbsd-alc","lacombar","false","Public access of my NetBSD private development tree","User","false","false",51093,2,,true,true,true,true,false,1,false,0,"NA",2,1,"2008-11-13T18:15:40Z","2017-08-31T14:54:09Z","2008-11-18T22:41:43Z",2
"django-debug-toolbar","brunobord","true","A configurable set of panels that display various debug information about the current request/response.","User","false","false",313,2,"Python",true,true,true,true,false,0,false,0,"bsd-3-clause",2,773,"2008-11-13T16:13:49Z","2016-05-08T16:50:05Z","2008-11-13T17:13:04Z",2
"taboca-developer-technotes","taboca","false","Development Technotes ","User","false","false",152,3,"Python",true,true,true,true,false,0,false,0,"NA",2,0,"2008-11-13T18:22:20Z","2016-05-08T16:52:01Z","2009-05-11T02:11:16Z",3
"callstack","dtsato","false","A simple extension to add better stack traces to Ruby 1.8","User","false","false",88,3,"C",true,true,true,true,false,0,false,0,"NA",2,0,"2008-11-13T18:13:57Z","2016-05-08T16:52:00Z","2008-11-15T14:03:23Z",3
"slosh","dustin","false","Lazy realtime web.","User","false","false",149,44,"Python",true,true,true,true,false,4,false,0,"NA",2,4,"2008-11-13T18:51:46Z","2017-04-14T14:25:29Z","2012-08-23T05:19:25Z",44
"wow-addons","carlo","false","My WoW Interface folder.","User","false","false",15484,2,"Lua",true,true,true,true,false,2,false,0,"NA",2,2,"2008-11-13T18:38:46Z","2016-05-08T16:52:02Z","2008-11-23T13:09:52Z",2
"js","amanjb","false","","User","false","false",48,2,,true,true,true,true,false,0,false,0,"NA",2,0,"2008-11-13T19:02:59Z","2016-05-08T16:52:05Z",,2
"rekord","mrandyclark","false","Recording to a Rails","User","false","false",340,2,"Ruby",true,true,true,true,false,1,false,0,"NA",2,1,"2008-11-13T19:02:35Z","2016-05-08T16:52:04Z","2008-11-13T21:05:18Z",2
"iterator","intelitiva","false","A simple iterator for ruby arrays.","User","false","false",79,5,"Ruby",true,true,true,true,false,3,false,0,"NA",4,3,"2008-11-13T19:22:13Z","2016-05-08T16:52:06Z","2008-11-14T12:59:15Z",5
"boolean_util","intelitiva","false","Adds boolean parsers to ruby objects, adding the method *to_b* to objects.","User","false","false",84,4,"Ruby",true,true,true,true,false,2,false,0,"NA",4,2,"2008-11-13T19:06:19Z","2016-05-08T16:52:05Z","2008-11-21T17:55:21Z",4
"attachment_fu_crop_mini_magick","jxson","true","Evil Twin Cropping hack for attachment_fu that supports mini_magick","User","false","false",85,3,"Ruby",true,true,true,true,false,0,false,0,"NA",2,3,"2008-11-13T18:36:47Z","2016-05-08T16:52:01Z","2008-11-13T18:52:35Z",3
"svnurl","bpsm","false","A script to make working with Subversion URLs easier","User","false","false",104,2,"Python",true,true,true,true,false,0,false,0,"NA",2,0,"2008-11-13T19:23:09Z","2016-05-08T16:52:07Z","2011-11-09T18:01:13Z",2
"getopt-lucid","dagolden","false","(Perl) Clear, readable syntax for command line processing","Organization","false","false",177,9,"Perl",true,true,true,true,false,6,false,4,"NA",4,6,"2008-11-13T19:08:10Z","2017-05-03T14:55:09Z","2017-04-16T02:50:46Z",9
"snapz","pachanga","false","Just a testbed for my experiments","User","false","false",84,2,,true,true,true,true,false,0,false,0,"NA",2,0,"2008-11-13T19:37:15Z","2016-05-08T16:52:08Z","2008-12-03T19:46:10Z",2
"annotate_properties","mitya","false","A hybrid of DataMapper's property declarations and annotate_models Rails plugin","User","false","false",80,2,"Ruby",true,true,true,true,false,0,false,0,"NA",2,0,"2008-11-13T20:05:53Z","2016-05-08T16:52:11Z","2008-11-28T23:20:12Z",2
"mangos","Cha0Sxx","true","MaNGOS is a free, Open Source implementation of a game server compatible with the original World of Warcraft client.","User","false","false",9127,2,"C++",true,true,true,true,false,0,false,0,"gpl-2.0",2,1329,"2008-11-13T19:58:07Z","2016-05-08T16:52:10Z","2008-11-12T23:03:26Z",2
"ijython","hh","false","Port of IPython to Jython","User","false","false",80,2,,true,true,true,true,false,0,false,0,"NA",1,0,"2008-11-13T20:18:00Z","2016-05-08T16:52:11Z","2008-11-13T20:19:00Z",2
"bort","igorkasyanchuk","true","Base Rails app with email login instead of username. Bort: Programmed to feel pain.","User","false","false",973,2,"Ruby",true,true,true,true,false,1,false,0,"NA",2,105,"2008-11-13T19:57:40Z","2016-05-08T16:52:10Z","2008-11-12T20:02:45Z",2
"calendar_date_select","x1ddos","true","A popular and flexible JavaScript DatePicker for RubyOnRails (and others) with :in_place option","User","false","false",582,2,"JavaScript",true,true,true,true,false,0,false,0,"mit",2,184,"2008-11-13T19:35:48Z","2016-05-08T16:52:08Z","2008-11-13T20:39:14Z",2
"nub.datalogger","nublabs","false","a wireless datalogger platform using the XBee protocol","User","false","false",8944,3,"C++",true,true,true,true,false,0,false,0,"NA",3,0,"2008-11-13T19:44:16Z","2016-05-08T16:52:09Z","2009-02-05T14:21:30Z",3
"railspdf","scharfie","true","Adds pdf-writer support to Rails. The original project is outdated. This fork supports 2.1.0 and adds a few other goodies.","User","false","false",160,3,"Ruby",true,true,true,true,false,1,false,0,"NA",1,9,"2008-11-13T16:53:56Z","2016-05-08T16:50:07Z","2011-04-07T17:15:56Z",3
"natter","engineyard","false","Erlang XMPP Client","Organization","false","false",145,76,"Erlang",true,true,true,true,false,6,false,0,"lgpl-3.0",119,6,"2008-11-13T20:24:31Z","2017-11-13T14:01:06Z","2009-03-11T14:27:28Z",76
"agency","davidrichards","false","An extract from Tegu's WorkloadManager, interchangeable machine learning agents.","User","false","false",108,2,"Ruby",true,true,true,true,false,0,false,0,"mit",2,0,"2008-11-13T20:28:44Z","2016-05-08T16:52:13Z","2009-01-01T02:08:41Z",2
"wtframework","tomocchino","false","JavaScript framework detection bookmarklet","User","false","false",86,10,"PHP",true,true,true,true,false,2,false,0,"NA",1,2,"2008-11-13T20:40:11Z","2017-06-09T15:16:40Z","2009-06-28T17:53:13Z",10
"erlrrd","toddlipcon","false","an erlang port that provides an interface to rrdtool (git-svn checkout)","User","false","false",121,6,"Erlang",true,true,true,true,false,3,false,0,"NA",2,3,"2008-11-13T20:54:20Z","2016-05-08T16:52:15Z","2008-11-13T21:13:27Z",6
